month,product,category_code,tvl_usd,tvl_btc,include_net
2024-12,iBTC Finance,C2,139786268,1493.826,1
2024-12,Swell swBTC,C2,29648126,316.835,1
2024-12,StakeStone STONEBTC,C2,18706201,199.904,1
2024-12,ShardingDAO (BTC),C2,5591487,59.753,1
2024-12,Stream Finance (BTC),C3,9667280,103.309,1
2024-12,Aster asBTC,C3,7637154,81.614,1
2024-12,Thetanuts (BTC),C4,4319877,46.164,1
2024-12,Wildcat (BTC),C5,1,0.0,1
2024-12,YieldNest ynBTCk,C2,18868,0.202,0
2025-01,ether.fi Liquid BTC,C1,21937032,214.167,1
2025-01,Babylon (BTC staking) - stake attributed to listed LSTs/products,C2,3206521957,31304.654,0
2025-01,"Babylon (BTC staking) - other stakers (Kraken, Binance, OKX, Figment, direct)",C2,2598967654,25373.219,1
2025-01,Lombard LBTC - held inside other listed products,C2,589666495,5756.8,0
2025-01,Lombard LBTC - direct / other holders,C2,1299151869,12683.369,1
2025-01,Bedrock uniBTC - held inside other listed products,C2,249775661,2438.512,0
2025-01,Bedrock uniBTC - direct / other holders,C2,233931163,2283.825,1
2025-01,SolvBTC LSTs (SolvBTC.BBN etc.) - held inside other listed products,C2,91060477,889.006,0
2025-01,SolvBTC LSTs (SolvBTC.BBN etc.) - direct / other holders,C2,970598149,9475.762,1
2025-01,PumpBTC - held inside other listed products,C2,285315623,2785.481,0
2025-01,PumpBTC - direct / other holders,C2,381408291,3723.615,1
2025-01,Lorenzo stBTC - held inside other listed products,C2,84690987,826.822,0
2025-01,Lorenzo stBTC - direct / other holders,C2,123834250,1208.97,1
2025-01,Chakra,C2,116771611,1140.019,1
2025-01,alloBTC,C2,54092241,528.092,1
2025-01,pSTAKE BTC,C2,33939396,331.344,1
2025-01,LISA BTC LST,C2,358023,3.495,1
2025-01,b14g,C2,11056516,107.943,1
2025-01,exSat Staking BTC,C2,706296415,6895.435,1
2025-01,Symbiotic (BTC vaults),C2,198718381,1940.049,1
2025-01,Mellow restaking (uniBTC),C2,23837839,232.724,1
2025-01,Pell Network,C2,216783713,2116.418,1
2025-01,Kernel (BTC part),C2,182283550,1779.599,1
2025-01,SatLayer,C2,31316290,305.735,1
2025-01,CIAN Yield Layer (BTC vaults),C2,457805951,4469.471,1
2025-01,ObeliskBTC,C2,322430423,3147.826,1
2025-01,Solv Basis Trading (SolvBTC.TRADING),C3,8518430,83.164,1
2025-01,BitFi bfBTC (AILayer),C3,221506341,2162.524,1
2025-01,Manta CeDeFi (BTC),C3,2258913,22.053,1
2025-01,Hope (BTC basis collateral),C3,2082023,20.326,1
2025-01,DeSyn Basis Trading (BTC),C3,662572,6.469,1
2025-01,Hegic (WBTC pool),C4,3180597,31.052,1
2025-01,Ribbon (WBTC theta vault),C4,2900155,28.314,1
2025-01,D2 Finance (UBTC),C4,706974,6.902,1
2025-01,Lombard Vaults (LBTCv / BTCe) - held inside other listed products,C6,10545398,102.953,0
2025-01,Lombard Vaults (LBTCv / BTCe) - direct / other holders,C6,44188210,431.401,1
2025-01,Native Credit Pool (BTC part),C5,2106292,20.563,1
2025-01,B2 Buzz Farming,C6,262034499,2558.192,1
2025-01,AILayer farm (AINN),C6,135071878,1318.681,0
2025-01,"Veda (other BTC vaults, excl. Kraken)",C6,864569317,8440.623,1
2025-01,Upshift (BTC vaults),C6,64132902,626.117,1
2025-01,Proxy (PRXY BTC strategies),C6,26891427,262.536,1
2025-01,Convex (BTC LPs),C6,50363797,491.692,1
2025-01,Yearn (BTC vaults),C6,7709038,75.262,1
2025-01,Badger DAO (BTC vaults),C6,16443249,160.532,1
2025-01,Stake DAO (BTC LPs),C6,58528,0.571,1
2025-01,Yield Yak (BTC),C6,9102895,88.87,1
2025-01,Superform (BTC),C6,545403,5.325,1
2025-01,Harvest (BTC),C6,2609600,25.477,1
2025-01,Autofarm (BTC),C6,1719866,16.791,1
2025-01,OmniYield (WBTC),C6,12786,0.125,1
2025-01,Belt (BTCB),C6,4703716,45.921,1
2025-01,Tranchess (BTCB),C6,15765107,153.912,1
2025-01,Radpie (BTC),C6,1095808,10.698,1
2025-01,Aura (BTC),C6,1018010,9.939,1
2025-01,Reaper (WBTC),C6,1018503,9.943,1
2025-01,Vesper (WBTC),C6,969204,9.462,1
2025-01,Kine (BTC),C6,899141,8.778,1
2025-01,DeltaPrime (BTC),C6,2331191,22.759,1
2025-01,Extra Finance (cbBTC),C6,3396880,33.163,1
2025-01,IPOR Fusion (other BTC vaults),C6,57022,0.557,1
2025-01,DeSyn Liquid Strategy (BTC),C6,895907801,8746.575,1
2025-01,DeSyn Safe (BTC),C6,248144132,2422.583,1
2025-01,Corn Kernels pre-deposit,C6,381476429,3724.281,1
2025-01,Zircuit staking (BTC),C6,3647673,35.612,1
2025-01,Pencils Protocol (SolvBTC),C6,299507,2.924,1
2025-01,Swell Earn (BTC vaults),C6,115644930,1129.019,1
2025-01,CoinWind (BTC),C6,94441705,922.016,1
2025-01,Flamincome (WBTC),C6,99074142,967.242,1
2025-01,Hourglass (eBTC/LBTCv),C6,35050263,342.189,1
2025-01,Aera v2 (BTC),C6,14829445,144.777,1
2025-01,StakeStone Berachain vault (BTC),C6,19356232,188.971,1
2025-01,Mitosis (BTC),C6,5828293,56.9,1
2025-01,Umami (BTC),C6,5056087,49.362,1
2025-01,Capy (BTC),C6,112682,1.1,1
2025-01,Sommelier (BTC),C6,1066957,10.416,1
2025-01,Factor leverage vault (BTC),C6,3349175,32.697,1
2025-01,Omega (BTC),C6,2889362,28.208,1
2025-01,OpenGDP shared security (LBTC),C2,325289758,3175.741,1
2025-01,iBTC Finance,C2,155489695,1518.016,1
2025-01,Swell swBTC,C2,31038598,303.024,1
2025-01,StakeStone STONEBTC,C2,20874478,203.793,1
2025-01,ShardingDAO (BTC),C2,6127998,59.826,1
2025-01,Stream Finance (BTC),C3,10628686,103.766,1
2025-01,Aster asBTC,C3,14823614,144.72,1
2025-01,Thetanuts (BTC),C4,4758773,46.459,1
2025-01,Wildcat (BTC),C5,1,0.0,1
2025-01,YieldNest ynBTCk,C2,469033,4.579,0
2025-01,Royco v1 IAM (incl. Boyco pre-deposits),C6,138916546,1356.215,0
2025-02,Maple BTC Yield,C1,13129068,155.65,1
2025-02,ether.fi Liquid BTC,C1,51328204,608.515,1
2025-02,Babylon (BTC staking) - stake attributed to listed LSTs/products,C2,2644569803,31352.361,0
2025-02,"Babylon (BTC staking) - other stakers (Kraken, Binance, OKX, Figment, direct)",C2,1985543791,23539.362,1
2025-02,Lombard LBTC - held inside other listed products,C2,799791312,9481.824,0
2025-02,Lombard LBTC - direct / other holders,C2,822038032,9745.567,1
2025-02,Bedrock uniBTC - held inside other listed products,C2,155076155,1838.486,0
2025-02,Bedrock uniBTC - direct / other holders,C2,235823280,2795.773,1
2025-02,SolvBTC LSTs (SolvBTC.BBN etc.) - held inside other listed products,C2,194570295,2306.703,0
2025-02,SolvBTC LSTs (SolvBTC.BBN etc.) - direct / other holders,C2,653190549,7743.818,1
2025-02,PumpBTC - held inside other listed products,C2,251202734,2978.102,0
2025-02,PumpBTC - direct / other holders,C2,313880251,3721.167,1
2025-02,Lorenzo stBTC - held inside other listed products,C2,70310760,833.56,0
2025-02,Lorenzo stBTC - direct / other holders,C2,14548290,172.475,1
2025-02,Chakra,C2,96333107,1142.065,1
2025-02,alloBTC,C2,44655999,529.414,1
2025-02,pSTAKE BTC,C2,27949401,331.351,1
2025-02,LISA BTC LST,C2,293946,3.485,1
2025-02,b14g,C2,84681996,1003.937,1
2025-02,exSat Staking BTC,C2,584088091,6924.582,1
2025-02,Symbiotic (BTC vaults),C2,137581044,1631.075,1
2025-02,Mellow restaking (uniBTC),C2,19506293,231.254,1
2025-02,Pell Network,C2,93824371,1112.323,1
2025-02,Kernel (BTC part),C2,235710012,2794.43,1
2025-02,SatLayer,C2,263679210,3126.015,1
2025-02,CIAN Yield Layer (BTC vaults),C2,697021896,8263.455,1
2025-02,ObeliskBTC,C2,138692162,1644.247,1
2025-02,Solv Basis Trading (SolvBTC.TRADING),C3,8861881,105.061,1
2025-02,BitFi bfBTC (EVM chains) - held inside other listed products,C3,182505241,2163.668,0
2025-02,BitFi bfBTC (EVM chains) - direct / other holders,C3,7892148,93.564,1
2025-02,BitFi bfBTC (AILayer),C3,182505288,2163.668,1
2025-02,Manta CeDeFi (BTC),C3,1858662,22.035,1
2025-02,Hope (BTC basis collateral),C3,1717661,20.364,1
2025-02,DeSyn Basis Trading (BTC),C3,2209439,26.194,1
2025-02,Hegic (WBTC pool),C4,2622552,31.091,1
2025-02,Ribbon (WBTC theta vault),C4,2386618,28.294,1
2025-02,D2 Finance (UBTC),C4,579668,6.872,1
2025-02,Lombard Vaults (LBTCv / BTCe) - held inside other listed products,C6,17601755,208.675,0
2025-02,Lombard Vaults (LBTCv / BTCe) - direct / other holders,C6,128612191,1524.745,1
2025-02,Native Credit Pool (BTC part),C5,1687530,20.006,1
2025-02,B2 Buzz Farming,C6,216392794,2565.417,1
2025-02,AILayer farm (AINN),C6,111470436,1321.524,0
2025-02,Concrete (BTC vaults),C6,306690623,3635.932,1
2025-02,"Veda (other BTC vaults, excl. Kraken)",C6,894813917,10608.353,1
2025-02,Upshift (BTC vaults),C6,53246481,631.257,1
2025-02,Proxy (PRXY BTC strategies),C6,22002042,260.842,1
2025-02,Convex (BTC LPs),C6,36327904,430.681,1
2025-02,Yearn (BTC vaults),C6,6354766,75.338,1
2025-02,Badger DAO (BTC vaults),C6,12895386,152.88,1
2025-02,Stake DAO (BTC LPs),C6,166429,1.973,1
2025-02,Yield Yak (BTC),C6,6982013,82.774,1
2025-02,Superform (BTC),C6,404774,4.799,1
2025-02,Harvest (BTC),C6,2179968,25.844,1
2025-02,Autofarm (BTC),C6,1365197,16.185,1
2025-02,OmniYield (WBTC),C6,10551,0.125,1
2025-02,Belt (BTCB),C6,3881817,46.02,1
2025-02,Tranchess (BTCB),C6,36045642,427.335,1
2025-02,Radpie (BTC),C6,932573,11.056,1
2025-02,Aura (BTC),C6,769681,9.125,1
2025-02,Lagoon (BTC vaults),C6,9005799,106.767,1
2025-02,Reaper (WBTC),C6,816945,9.685,1
2025-02,Vesper (WBTC),C6,777538,9.218,1
2025-02,Kine (BTC),C6,740312,8.777,1
2025-02,DeltaPrime (BTC),C6,2015106,23.89,1
2025-02,Extra Finance (cbBTC),C6,2637267,31.266,1
2025-02,IPOR Fusion (other BTC vaults),C6,47120,0.559,1
2025-02,DeSyn Liquid Strategy (BTC),C6,653603612,7748.715,1
2025-02,DeSyn Safe (BTC),C6,204413567,2423.399,1
2025-02,Corn Kernels pre-deposit,C6,153067356,1814.671,1
2025-02,Zircuit staking (BTC),C6,3003968,35.613,1
